dependent,independent,alpha,adj_r2
BTCUSDT,"['AVAXUSDT', 'DOGEUSDT']",47915.07593986221,0.5876273890094519
DOGEUSDT,"['BTCUSDT', 'AVAXUSDT']",-0.1597641599361388,0.6168837066211852
DOGEUSDT,"['AVAXUSDT', 'BTCUSDT']",-0.15976415993615667,0.6168837066211859
AVAXUSDT,"['BTCUSDT', 'DOGEUSDT']",30.678004467172215,0.1186876226020207
AVAXUSDT,"['DOGEUSDT', 'BTCUSDT']",30.678004468248908,0.11868762260204768
BTCUSDT,"['LINKUSDT', 'SOLUSDT']",1665.779892758178,0.6246642766507233
BTCUSDT,"['SOLUSDT', 'LINKUSDT']",1665.7798927555289,0.6246642766507231
LINKUSDT,"['BTCUSDT', 'SOLUSDT']",6.646588444564101,0.4048095782923302
LINKUSDT,"['SOLUSDT', 'BTCUSDT']",6.646588444564722,0.404809578292331
SOLUSDT,"['BTCUSDT', 'LINKUSDT']",67.53983866266765,0.44446303701874657
SOLUSDT,"['LINKUSDT', 'BTCUSDT']",67.53983866267066,0.4444630370187471
BTCUSDT,"['LINKUSDT', 'WBTC']",39242.09257688361,0.3868836131848865
BTCUSDT,"['WBTC', 'LINKUSDT']",39242.092576866955,0.3868836131848884
LINKUSDT,"['BTCUSDT', 'WBTC']",16.0671499961678,0.4068134744462367
LINKUSDT,"['WBTC', 'BTCUSDT']",16.067149996200968,0.4068134744462286
WBTC,"['BTCUSDT', 'LINKUSDT']",1.0729461476575968,0.0696075945651986
WBTC,"['LINKUSDT', 'BTCUSDT']",1.072946147657617,0.0696075945651955
BTCUSDT,"['LINKUSDT', 'XRPUSDT']",51607.083156696,0.7536009394364221
BTCUSDT,"['XRPUSDT', 'LINKUSDT']",51607.08315669527,0.7536009394364219
LINKUSDT,"['BTCUSDT', 'XRPUSDT']",12.281350532879237,0.5081456660443477
LINKUSDT,"['XRPUSDT', 'BTCUSDT']",12.281350532853125,0.5081456660443457
XRPUSDT,"['BTCUSDT', 'LINKUSDT']",-2.1625608574584727,0.8026305961372986
XRPUSDT,"['LINKUSDT', 'BTCUSDT']",-2.1625608574585113,0.8026305961372981
BTCUSDT,"['LINKUSDT', 'BCHUSDT']",119828.44820508736,0.38868436166167764
BTCUSDT,"['BCHUSDT', 'LINKUSDT']",119828.44820520075,0.3886843616616791
LINKUSDT,"['BTCUSDT', 'BCHUSDT']",-22.92953592920795,0.39037217423898274
LINKUSDT,"['BCHUSDT', 'BTCUSDT']",-22.929535928839883,0.3903721742389963
BCHUSDT,"['BTCUSDT', 'LINKUSDT']",0.9881496171716893,0.00754691291235543
BCHUSDT,"['LINKUSDT', 'BTCUSDT']",0.9881496171717099,0.007546912912315018
BTCUSDT,"['LINKUSDT', 'DAIUSDT']",119828.44820508736,0.38868436166167764
BTCUSDT,"['DAIUSDT', 'LINKUSDT']",119828.44820520075,0.3886843616616791
LINKUSDT,"['BTCUSDT', 'DAIUSDT']",-22.92953592920795,0.39037217423898274
LINKUSDT,"['DAIUSDT', 'BTCUSDT']",-22.929535928839883,0.3903721742389963
DAIUSDT,"['BTCUSDT', 'LINKUSDT']",0.9881496171716893,0.00754691291235543
DAIUSDT,"['LINKUSDT', 'BTCUSDT']",0.9881496171717099,0.007546912912315018
BTCUSDT,"['LINKUSDT', 'LTCUSDT']",8008.660181780169,0.7190449532277208
BTCUSDT,"['LTCUSDT', 'LINKUSDT']",8008.660181769915,0.7190449532277214
LINKUSDT,"['BTCUSDT', 'LTCUSDT']",1.8625288474695045,0.6317367971982301
LINKUSDT,"['LTCUSDT', 'BTCUSDT']",1.8625288474655448,0.6317367971982298
LTCUSDT,"['BTCUSDT', 'LINKUSDT']",6.67198754936211,0.828111721553526
LTCUSDT,"['LINKUSDT', 'BTCUSDT']",6.671987549361987,0.8281117215535254
BTCUSDT,"['LINKUSDT', 'XLMUSDT']",51784.52098052665,0.740967425999915
BTCUSDT,"['XLMUSDT', 'LINKUSDT']",51784.52098052958,0.7409674259999142
LINKUSDT,"['BTCUSDT', 'XLMUSDT']",12.685019892080232,0.5591854991810394
LINKUSDT,"['XLMUSDT', 'BTCUSDT']",12.685019892479911,0.5591854991810419
XLMUSDT,"['BTCUSDT', 'LINKUSDT']",-0.3224015814172006,0.8133329519489289
XLMUSDT,"['LINKUSDT', 'BTCUSDT']",-0.3224015814172078,0.8133329519489304
BTCUSDT,"['LINKUSDT', 'AVAXUSDT']",38891.92790986865,0.47301561739210296
BTCUSDT,"['AVAXUSDT', 'LINKUSDT']",38891.92790986922,0.4730156173921026
LINKUSDT,"['BTCUSDT', 'AVAXUSDT']",-2.2035661493178695,0.7111957510092167
